symbol,roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover
BCPC,1,1,0,1,0,1,1,1,0
BCRX,0,0,0,0,0,1,0,0,1
BCS,1,1,1,1,1,0,0,0,0
BCSF,1,1,1,1,0,0,0,1,1
BCYC,0,0,1,0,0,1,0,0,0
BCYP,0,0,1,0,0,0,0,0,1
BDC,0,1,0,1,0,1,0,0,0
BDL,1,1,0,1,1,1,1,0,0
BDN,1,1,0,1,0,0,0,1,1
BDR,0,0,1,0,0,1,0,0,0
BDSI,0,1,1,1,0,0,0,1,1
BDX,1,1,1,1,1,1,0,1,1
BE,0,0,0,0,0,0,0,0,1
BEAM,0,0,1,0,1,0,0,1,0
BECN,0,1,0,1,1,1,0,0,1
BEDU,1,1,0,1,0,0,1,1,0
BELFA,0,0,0,0,0,1,0,1,0
BEN,1,1,1,1,0,0,1,0,1
BEP,0,1,0,1,1,0,1,0,0
BERY,1,1,0,1,0,0,0,0,0
BEST,0,0,1,0,0,0,1,1,0
BFAM,1,1,0,1,0,1,0,1,0
BFC,1,1,1,1,0,0,0,0,0
BFIN,1,1,0,1,1,0,1,0,0
BFLY,0,0,0,0,0,0,0,0,1
BFRA,0,0,1,0,0,0,0,1,0
BFS,1,1,0,1,0,0,0,0,0
BFST,1,1,1,1,0,0,0,0,1
BG,0,0,0,0,0,1,0,0,0
BGCP,1,1,0,1,0,0,0,0,1
BGFV,1,1,1,1,0,0,0,1,0
BGI,0,0,0,0,0,0,1,1,1
BGNE,0,0,0,0,0,0,0,0,1
BGS,1,1,0,1,0,1,1,1,0
BGSF,1,1,0,1,0,1,0,1,0
BH,1,0,1,0,0,1,1,1,0
BHB,1,1,0,1,1,0,0,0,0
BHC,0,0,1,0,0,1,0,1,1
BHE,1,1,1,1,0,0,1,1,0
BHF,0,0,0,0,0,0,1,0,0
BHLB,1,1,0,1,1,0,0,0,0
BHP,1,1,1,1,1,0,1,0,1
BHR,0,1,0,1,0,0,0,0,1
BHTG,0,0,1,0,0,1,0,1,0
BHVN,0,0,1,0,1,0,0,1,0
BIDU,1,1,0,1,0,0,0,0,0
BIG,1,1,0,1,0,0,1,0,0
BIGC,0,0,1,0,1,0,0,1,0
BIIB,1,1,1,1,0,0,1,0,1
BILI,0,0,1,0,0,1,0,0,0
BIMI,0,0,0,0,0,0,1,0,0
BIO,1,1,1,1,0,0,0,1,0
BIOC,0,0,1,0,0,1,0,1,1
BIOL,0,0,1,0,0,0,0,1,0
BIOX,0,1,1,1,0,1,1,1,0
BIP,1,1,0,1,0,1,0,0,1
BJ,1,1,0,1,0,0,1,1,0
BJRI,1,1,0,1,0,0,1,0,0
BK,1,1,1,1,1,0,1,0,0
BKCC,0,1,1,1,0,0,1,0,0
BKD,0,0,1,0,0,0,1,0,0
BKE,1,1,0,1,0,0,0,1,0
BKEP,0,1,1,1,0,0,1,1,1
BKH,1,1,0,1,0,0,0,1,0
BKI,1,1,0,1,0,0,1,0,0
BKNG,1,1,1,1,0,0,1,0,1
BKR,1,1,0,1,1,0,1,1,1
BKSC,1,1,1,1,0,0,0,0,1
BKTI,0,0,0,0,0,0,1,0,0
BKU,1,1,0,1,1,0,1,0,0
BKYI,0,0,0,0,0,0,1,0,0
BL,0,0,1,0,0,1,0,1,0
BLBD,1,1,0,1,0,1,0,1,0
BLCM,0,0,0,0,0,0,0,0,1
BLD,1,1,1,1,0,1,1,1,0
BLDP,0,0,0,0,0,0,0,0,0
BLDR,1,1,1,1,0,0,0,1,0
BLFS,1,1,1,1,0,1,0,1,0
BLIN,0,0,0,0,1,0,0,0,0
BLK,1,1,1,1,1,0,1,1,1
BLKB,1,1,0,1,0,1,0,0,0
BLL,1,1,1,1,0,0,1,0,0
BLMN,1,1,0,1,0,0,1,0,0
BLNK,0,0,1,0,1,0,0,0,1
BLPH,0,0,0,0,0,0,0,1,0
BLRX,0,0,0,0,0,0,0,1,0
BLU,0,0,1,0,0,0,0,0,0
BLUE,0,0,0,0,0,0,0,0,0
BLX,1,1,1,1,1,0,0,0,0
BMA,0,1,0,1,0,0,1,0,1
BMI,1,1,1,1,1,1,0,1,0
BMO,1,1,0,1,0,0,0,0,0
BMRA,0,0,0,0,0,0,0,0,0
BMRC,1,1,0,1,0,0,1,0,0
BMRN,0,0,1,0,0,0,0,0,1
BMTC,1,1,0,1,0,0,1,0,0
BMY,1,1,0,1,0,0,0,0,0
BNED,0,0,1,0,1,0,0,1,1
BNFT,0,0,1,0,0,0,0,1,0
BNGO,0,0,1,0,0,0,0,1,0
BNS,1,1,0,1,0,0,1,0,0
BNSO,0,0,0,0,0,0,1,0,0
BNTC,1,1,1,1,0,0,1,0,1
BNTX,0,0,1,0,0,1,0,0,0
BODY,0,0,0,0,0,0,0,0,0
BOH,1,1,0,1,0,0,1,0,0
BOKF,1,1,0,1,0,0,1,0,0
BOLT,1,1,1,1,0,0,0,1,1
BOMN,0,0,1,0,0,0,0,0,1
BOOM,1,1,0,1,1,0,1,1,0
BOOT,1,1,1,1,1,1,0,1,1
BOSC,0,0,0,0,0,0,0,0,0
