roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover,price_change
0.153,19135700000.0,-0.018,19135699999.847,880200000.0,-0.011,-31136676.0,-0.007,0.0349999999999999,0.1262729124236252
0.171,15834400000.0,,15834399999.829,-172300000.0,-0.2410000000000001,53305142.0,-0.009,,-0.1505190311418685
0.066,310900000.0,0.007,310899999.934,263800000.0,-0.038,-1414107.0,-0.004,-0.0430000000000001,0.2958629335562055
0.059,289000000.0,-0.0119999999999999,288999999.941,-100900000.0,0.024,-232935.0,0.002,-0.0379999999999998,0.058849557522124
0.071,295500000.0,-0.004,295499999.929,42000000.0,-0.127,-3587668.0,0.001,-0.129,0.0296127562642369
0.075,301400000.0,0.0189999999999999,301399999.925,192300000.0,0.1069999999999999,-2807268.0,-0.004,-0.0409999999999999,0.2756683456024796
0.056,269200000.0,-0.0059999999999999,269199999.944,310300000.0,-0.1029999999999999,-3308867.0,0.001,-0.0580000000000002,-0.3357354265860249
0.062,233900000.0,0.008,233899999.938,141200000.0,0.064,-336001.0,-0.001,-0.016,0.5833333333333333
0.054,184900000.0,0.0049999999999999,184899999.946,130100000.0,0.0199999999999997,-414013.0,-0.004,-0.0749999999999997,0.4818840579710146
0.049,148400000.0,0.021,148399999.951,-70300000.0,-0.1349999999999998,-1217172.0,0.004,0.242,0.3116831683168315
0.028,128100000.0,0.018,128099999.972,-9600000.0,0.0179999999999997,30105.0,-0.003,0.2429999999999998,0.3685636856368564
0.01,94800000.0,0.181,94799999.99,-247400000.0,0.169,681555.0,0.004,0.2829999999999999,0.5336658354114714
-0.832,-8118000.0,0.269,-8117999.168,0.0,2.603999999999999,246710.0,,0.0,-0.350491683865485
-1.101,-18712000.0,-0.566,-18711998.899,0.0,-3.007999999999999,265744.0,,0.0,-0.2499544709524676
-0.535,-16613000.0,-0.209,-16612999.465,0.0,-16.925,4126.0,,0.0,-0.7559555555555556
-0.326,-11455000.0,0.175,-11454999.674,0.0,14.716,334906.0,,0.0,-0.3297587131367292
-0.501,-9693000.0,0.0849999999999999,-9692999.499,0.0,-0.1089999999999999,1735.0,,0.0,-0.3617749386870472
-0.586,-6940000.0,0.533,-6939999.414,0.0,1.2840000000000007,141224.0,,0.0,-0.5947064262598244
-1.119,-4319000.0,-0.351,-4318998.881,0.0,1.7449999999999992,9167.0,,0.0,-0.2015823164448327
-0.768,-7361000.0,0.02,-7360999.232,0.0,2.221000000000001,4429.0,,0.0,-0.5274543179046487
-0.788,-9175000.0,-0.452,-9174999.212,0.0,0.9779999999999998,1606.0,,0.0,-0.673272818889321
-0.336,-36733000.0,0.0239999999999999,-36732999.664,0.0,0.4459999999999997,70.0,,-0.184,-0.0807920959784029
0.026,138600000.0,0.0249999999999999,138599999.974,-239200000.0,-0.1519999999999999,515198.0,0.003,-0.26,0.2818814176879762
0.001,101800000.0,-0.0249999999999999,101799999.999,909900000.0,-0.028,9958562.0,0.0039999999999999,-0.3090000000000001,-0.2103060423750979
0.026,54700000.0,-0.008,54699999.974,110300000.0,-0.0090000000000001,-516183.0,0.001,0.0830000000000001,-0.0553496417099086
0.034,73600000.0,-0.001,73599999.966,-161800000.0,-0.0939999999999998,321935.0,-0.0029999999999999,-0.1049999999999999,0.412565445026178
0.035,128600000.0,0.0,128599999.965,4930000.0,0.0609999999999999,226651.0,0.0,0.0249999999999999,0.0221191580449517
0.035,119025000.0,0.002,119024999.965,99870000.0,0.0809999999999999,1110683.0,-0.001,0.0060000000000002,0.0155797101449275
0.033,96566000.0,-0.0029999999999999,96565999.967,-85000000.0,-0.0369999999999999,1059122.0,-0.006,0.0759999999999996,0.3575996064928678
0.036,117568000.0,-0.006,117567999.964,159500000.0,-0.167,694321.0,0.007,-0.0859999999999998,-0.0319047619047619
0.042,108839000.0,0.0069999999999999,108838999.958,-32000000.0,0.0109999999999998,948826.0,-0.002,0.0430000000000001,-0.2096349266089574
0.035,92107000.0,0.007,92106999.965,-57500000.0,0.0530000000000001,723206.0,-0.005,-0.0060000000000002,0.2767900048053821
0.157,157137000.0,0.05,157136999.843,-16338000.0,1.1399999999999997,658507.0,-0.007,-0.078,-0.3341783704304619
0.107,90138000.0,0.0079999999999999,90137999.893,16338000.0,-1.5,1084194.0,-0.006,0.056,1.9030026493965264
0.099,65104000.0,-0.355,65103999.901,0.0,0.5979999999999999,998082.0,0.02,-0.065,0.3753036437246963
